Variable:,pr
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1986,637.81,565.13,751.60,765.89,541.85,700.86,674.02,614.75,535.34,628.09,542.68,684.44,563.00,644.75,605.05,584.96,622.98,713.26,636.09,719.25,678.54,668.86
1987,679.04,592.32,747.16,689.36,566.26,749.66,790.83,660.99,577.86,669.60,613.70,647.88,570.31,664.20,515.66,489.92,502.27,787.25,691.00,743.14,550.24,741.14
1988,674.64,732.51,715.38,623.85,602.00,898.97,654.85,795.16,676.07,823.28,592.44,717.86,646.93,803.87,588.47,552.40,564.57,834.16,669.60,624.18,630.63,827.82
1989,613.22,483.29,583.04,530.10,462.21,622.53,662.35,546.32,468.29,544.61,671.20,518.75,452.81,551.42,410.74,399.18,411.59,611.58,731.78,598.38,461.41,586.99
1990,680.15,613.31,722.45,694.88,583.43,853.13,693.95,743.96,595.80,729.94,616.01,714.72,628.39,691.90,600.27,574.55,610.88,745.34,699.91,665.55,670.30,789.59
1991,611.58,550.50,585.08,562.70,492.68,728.04,606.40,638.78,519.43,637.55,627.92,594.79,545.19,658.65,531.51,507.04,518.04,619.80,648.00,576.36,558.34,665.82
1992,680.33,575.03,677.94,694.30,499.22,766.14,716.46,651.54,525.74,651.67,686.84,632.27,533.43,649.61,522.58,517.52,556.21,677.80,742.68,723.57,597.10,713.58
1993,674.91,631.77,680.68,655.21,527.87,787.46,724.91,702.71,585.47,714.79,637.44,649.74,584.12,718.70,541.24,508.51,527.84,702.38,728.65,713.17,586.46,719.24
1994,581.28,694.68,622.36,571.74,571.89,908.09,568.82,762.47,633.42,793.45,457.99,654.89,611.77,817.90,563.49,523.07,533.28,682.63,517.85,534.70,585.05,778.94
1995,642.38,629.29,688.45,637.80,571.40,751.59,646.82,691.44,621.42,707.63,626.03,672.10,609.57,669.44,565.40,517.30,551.18,685.25,629.45,584.92,620.63,704.58
1996,580.34,552.95,606.98,575.34,516.29,601.74,595.77,577.05,550.75,592.41,565.86,589.48,521.52,527.08,475.26,440.14,453.25,621.17,620.03,607.74,514.09,598.08
1997,598.23,532.11,670.29,623.73,482.67,691.48,629.85,629.88,520.57,624.78,550.57,650.58,549.08,589.43,530.15,513.37,548.48,653.17,591.70,573.65,611.99,662.39
1998,784.32,736.34,744.94,747.74,579.80,982.31,785.79,854.76,673.20,853.18,775.98,735.55,682.68,826.96,590.09,565.18,593.87,760.18,863.29,818.77,652.86,890.90
1999,696.00,696.56,728.00,661.12,540.96,949.72,673.32,804.29,626.24,815.34,644.08,747.13,636.45,796.09,563.48,517.83,557.72,847.44,656.76,651.06,632.71,916.41
2000,831.05,658.33,900.55,848.44,630.27,887.37,860.53,803.89,669.43,778.19,765.43,887.46,734.01,698.28,683.23,621.90,657.39,995.81,882.83,911.68,752.78,953.68
2001,725.14,644.50,704.71,699.88,577.62,784.58,804.78,713.19,613.05,720.53,707.00,669.50,604.21,686.19,542.60,511.98,534.54,728.30,814.60,795.33,590.12,743.16
2002,600.52,652.56,648.42,591.12,443.57,856.12,563.27,696.33,563.59,734.95,538.02,643.67,553.03,773.45,510.82,454.19,493.76,720.25,573.48,573.02,573.88,756.91
2003,589.11,521.51,629.60,576.14,489.54,674.12,583.12,611.81,518.92,598.03,577.11,626.25,545.89,577.77,519.19,464.09,493.48,672.13,590.29,557.04,562.66,663.11
2004,662.57,668.23,650.93,601.35,502.60,855.40,610.58,737.43,606.55,751.63,679.75,691.29,610.11,750.62,548.25,470.02,510.32,740.53,661.30,601.66,596.68,780.57
2005,645.64,522.12,628.23,604.70,502.95,656.47,633.66,594.76,524.15,589.44,719.65,621.77,542.69,585.74,526.53,491.41,519.09,651.93,696.06,624.56,573.07,634.51
2006,661.75,600.77,746.09,678.64,506.72,852.89,664.27,734.37,587.65,713.57,558.69,727.64,621.83,709.96,574.28,499.81,546.94,830.62,652.32,661.76,635.25,852.04
2007,694.26,731.89,673.61,629.31,628.24,917.44,654.79,793.25,659.71,818.59,674.73,701.72,647.31,843.51,587.19,531.43,543.19,750.57,715.75,661.54,619.96,811.74
2008,703.77,662.97,789.32,731.25,579.86,855.14,661.16,774.20,647.20,760.69,634.90,788.54,666.93,740.52,639.14,583.92,628.00,862.25,676.29,698.20,706.46,857.70
2009,668.51,598.87,774.88,715.81,563.16,768.11,721.71,701.52,609.67,684.71,558.73,726.31,627.74,664.03,609.66,559.22,595.86,797.07,662.71,694.60,673.61,771.93
2010,651.03,660.10,688.99,656.15,607.45,847.74,652.40,761.91,658.70,755.28,574.42,707.95,656.87,768.31,611.96,547.48,575.05,727.85,618.53,635.07,652.52,774.19
2011,696.45,643.17,699.55,630.25,500.25,899.00,696.21,749.98,598.91,756.63,686.03,670.90,589.41,770.51,516.53,458.45,492.33,779.96,733.34,665.52,567.94,837.49
2012,744.52,701.75,846.27,788.62,661.15,883.79,721.46,821.21,708.74,804.34,649.58,842.62,738.80,762.76,707.04,665.84,699.84,893.53,715.34,747.58,781.22,878.99
2013,598.48,551.94,571.88,530.70,450.51,712.24,605.17,596.73,509.27,608.95,617.33,565.39,507.10,647.73,462.83,431.18,442.23,617.01,662.05,559.41,501.86,659.54
2014,636.01,692.00,722.12,645.79,521.36,911.49,558.91,775.09,610.41,799.65,546.06,724.22,608.48,794.74,564.16,506.73,544.45,823.84,586.06,600.16,634.40,844.90
2015,703.22,619.71,746.87,678.84,500.85,874.89,673.11,728.11,571.19,736.35,700.81,708.01,588.09,736.71,548.36,505.28,543.52,798.82,741.08,667.09,622.32,804.85
2016,636.38,547.13,621.80,594.64,519.74,707.97,626.47,620.14,525.81,623.38,675.62,602.45,522.09,614.57,496.26,471.20,494.04,650.38,702.52,622.04,548.41,664.57
2017,689.56,722.24,709.99,651.85,618.68,979.16,663.40,774.07,653.60,820.86,643.98,699.37,616.77,876.58,575.95,546.43,564.80,773.33,691.22,642.51,628.43,822.60
2018,549.86,494.58,503.03,491.51,427.97,642.99,566.52,558.60,452.69,562.24,573.86,505.82,451.42,544.81,420.92,397.40,413.18,543.31,609.68,559.61,454.86,593.40
2019,693.92,655.38,734.37,668.01,579.90,912.46,664.32,763.56,627.02,772.18,651.05,720.76,630.52,750.83,593.14,553.42,585.98,811.06,697.22,661.73,651.89,838.24
2020,683.04,554.42,754.19,690.51,496.34,747.94,706.50,645.98,525.89,632.31,669.97,685.76,554.07,645.73,534.22,512.71,569.79,796.89,695.35,710.82,627.47,751.53
